*Node
      1,   -39.294117,         77.5
      2,         -26.,          92.
      3,           0.,         100.
      4,          26.,          92.
      5,    39.294117,         77.5
      6,          25.,          85.
      7,           0.,          90.
      8,         -25.,          85.
      9,  -53.5882339,          70.
     10,         -54.,         87.5
     11,         -80.,   65.1063843
     12,         -70.,          15.
     13,        -47.5,         -7.5
     14,         -30.,          25.
     15,         -35.,          40.
     16,         -53.,          45.
     17,   53.5882339,          70.
     18,          30.,          25.
     19,          60.,   20.8571434
     20,          68.,          38.
     21,          53.,          45.
     22,          80.,   65.1063843
     23,         100.,          80.
     24,         125.,         115.
     25,         115.,         145.
     26,         100.,         155.
     27,          80.,         155.
     28,          55.,         130.
     29,          25.,         140.
     30,         -25.,         140.
     31,         -55.,         130.
     32,         -72.,         100.
     33,         -72.,         125.
     34,        -100.,         155.
     35,        -115.,         145.
     36,        -125.,         115.
     37,        -100.,          80.
     38,        -110.,          60.
     39,        -135.,          20.
     40,        -105.,         37.5
     41,         -20.,         106.
     42,           0.,         110.
     43,          20.,         106.
     44,          54.,         87.5
     45,          80.,          10.
     46,         47.5,         -7.5
     47,          70.,          15.
     48,         -68.,          38.
     49,         -60.,   20.8571434
     50,         -65.,         -40.
     51,         -65.,         -55.
     52,  -59.1666679,         -80.
     53,         -40.,         -90.
     54,         -40.,        -110.
     55,         -25.,        -120.
     56,          25.,        -120.
     57,          40.,        -110.
     58,          40.,         -90.
     59,   59.1666679,         -80.
     60,          30.,         -45.
     61,          30.,         -35.
     62,           0.,          35.
     63,         -30.,         -35.
     64,         -30.,         -45.
     65,         -10.,  -61.6666679
     66,         -10.,         -54.
     67,          35.,          40.
     68,         105.,         37.5
     69,   90.7435532,          40.
     70,         110.,          -5.
     71,         120.,         -60.
     72,         100.,         -80.
     73,         135.,          20.
     74,         135.,         -20.
     75,          72.,         125.
     76,          72.,         100.
     77,         110.,          60.
     78,   54.5294113,         110.
     79,         -80.,         155.
     80,  -90.7435532,          40.
     81,        -110.,          -5.
     82,         -54.,        -130.
     83,         -90.,        -110.
     84,        -100.,         -80.
     85,        -120.,         -60.
     86,        -135.,         -20.
     87,  -54.5294113,         110.
     88,         -30.,         125.
     89,           0.,         130.
     90,          30.,         125.
     91,          65.,         -40.
     92,          65.,         -55.
     93,         -80.,          10.
     94,         -95.,          -5.
     95,         -85.,           0.
     96,           0.,         -80.
     97,           0.,         -70.
     98,          10.,  -61.6666679
     99,           0.,  -47.8571434
    100,          85.,           0.
    101,          95.,          -5.
    102,          90.,        -110.
    103,          54.,        -130.
    104,           0.,        -160.
    105,          10.,         -54.
*Element
1, 2, 1
2, 3, 2
3, 4, 3
4, 5, 4
5, 6, 5
6, 7, 6
7, 7, 8
8, 8, 1
 9, 1, 9
10, 10,  9
11, 10, 11
12, 12, 11
13, 13, 12
14, 14, 13
15, 14, 15
16, 15, 16
17,  9, 16
18,  5, 17
19, 14,  7
20,  7, 18
21, 19, 18
22, 20, 19
23, 21, 20
24, 21, 22
25, 22, 23
26, 23, 24
27, 24, 25
28, 25, 26
29, 26, 27
30, 27, 28
31, 28, 29
